World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Lower middle income,2020-07-13,2994738553,379762.58955251565,407152.1334561616,407152.1334561616,379762.58955251565,112685.89644849062,-74769.10607216555,-74769.10607216555,3227504.8075406095,64550.09615081219,45797.136
Unknown income group,2020-07-13,258910,-65.50179243333125,29.099968073879918,29.099968073879918,-18.058559131071963,-65.50179243333125,-89.02655946651221,-89.02655946651221,0,0,1.001
Upper middle income,2020-07-13,2928412447,492533.80425143265,631847.0393921445,631847.0393921445,492533.80425143265,355795.8165447463,281118.63813649735,281118.63813649735,17664572.625932615,327121.7152950485,217484.197
High income,2020-07-20,1241193758,429901.22905081464,443114.57371981116,443114.57371981116,429901.22905081464,414870.2760872763,411744.3674192128,411744.3674192128,31284229.318032596,406288.69244198175,344260.315
Low income,2020-07-20,704080579,103423.84718059945,118752.64977787045,118752.64977787045,103423.84718059945,-7388.4730007738435,-74170.0558048064,-74170.0558048064,131606.70711166793,4538.162314195446,3791.1440000000002
Lower middle income,2020-07-20,2994738553,438835.4330465296,465616.83814306196,465616.83814306196,438835.4330465296,167249.42479951505,-31181.09593245678,-31181.09593245678,3882406.5216282215,77648.13043256443,53436.138
Unknown income group,2020-07-20,258910,-67.35154930658491,30.414620565682636,30.414620565682636,-18.065644561563982,-67.35154930658491,-92.03702216649317,-92.03702216649317,0,0,1.001
Upper middle income,2020-07-20,2928412447,575430.1222754972,722467.5203410359,722467.5203410359,575430.1222754972,428352.9071597331,337218.80470158346,337218.80470158346,20283511.52060822,375620.58371496707,241032.204
High income,2020-07-27,1241193758,449954.5794358186,464948.141074973,464948.141074973,449954.5794358186,433519.61377897294,430179.38633615436,430179.38633615436,32653487.525441054,424071.26656416955,353294.312
Low income,2020-07-27,704080579,115402.46979732953,128058.96356419758,128058.96356419758,115402.46979732953,-1374.032379698343,-68458.80198480833,-68458.80198480833,138396.31606791096,4772.286760962446,4126.15
Lower middle income,2020-07-27,2994738553,497752.7068009257,523765.0163759178,523765.0163759178,497752.7068009257,227488.29324497245,22519.76105401603,22519.76105401603,4547788.2357158335,90955.76471431668,61241.131
Unknown income group,2020-07-27,258910,-69.08371052811377,31.759424536115215,31.759424536115215,-17.907680678964315,-69.08371052811377,-94.94736166558712,-94.94736166558712,0,0,1.001
Upper middle income,2020-07-27,2928412447,658568.5190383815,808358.0826365829,808358.0826365829,658568.5190383815,497424.32268465584,393642.609852753,393642.609852753,22842661.975283828,423012.25880155235,266347.207
High income,2020-08-03,1241193758,468058.899620191,483329.9378411128,483329.9378411128,468058.899620191,450381.28231630434,446810.01384461153,446810.01384461153,33894028.7159678,440182.1911164649,362504.331
Low income,2020-08-03,704080579,124377.42253332183,133357.8113492172,133357.8113492172,124377.42253332183,3493.9210611609087,-64346.4366800104,-64346.4366800104,145185.92502415396,5006.411207729447,4386.165
Lower middle income,2020-08-03,2994738553,552388.8540065412,577722.0279800585,577722.0279800585,552388.8540065412,291827.4225434215,65027.234365118704,65027.234365118704,4976047.04657764,99520.9409315528,69237.154
Unknown income group,2020-08-03,258910,-70.27709424968283,33.905346008372014,33.905346008372014,-17.334628851645157,-70.27709424968283,-98.56816324289318,-98.56816324289318,0,0,1.001
Upper middle income,2020-08-03,2928412447,725874.0408378441,882810.1059189965,882810.1059189965,725874.0408378441,552681.9732283044,439937.6188931249,439937.6188931249,25053796.231894914,463959.1894795355,291207.217
High income,2020-08-10,1241193758,494467.254857365,509947.8139768892,509947.8139768892,494467.254857365,475482.4700026559,471641.04227106355,471641.04227106355,35765778.689827874,464490.632335427,371933.317
Low income,2020-08-10,704080579,134147.44542506864,138855.38560473802,138855.38560473802,134147.44542506864,6313.47900299112,-60190.405632537964,-60190.405632537964,151975.53398039698,5240.535654496447,4679.178
Lower middle income,2020-08-10,2994738553,614519.4757662351,634856.2609970047,634856.2609970047,614519.4757662351,349836.81991095294,111259.69232691568,111259.69232691568,5416765.857439446,108335.31714878892,77809.172
Unknown income group,2020-08-10,258910,-71.46593202441002,35.456590838886136,35.456590838886136,-16.92850926499518,-71.46593202441002,-102.35121116080286,-102.35121116080286,0,0,1.001
Upper middle income,2020-08-10,2928412447,789144.0316944928,953182.6432800821,953182.6432800821,789144.0316944928,605508.2135183297,481767.24376257835,481767.24376257835,27051742.448506005,500958.19349085196,317500.225
High income,2020-08-17,1241193758,515754.0774501706,531456.7035749259,531456.7035749259,515754.0774501706,495425.09551946935,491308.8498894187,491308.8498894187,37242206.043687955,483665.013554389,381195.332
Low income,2020-08-17,704080579,144710.99925623595,147323.1822455676,147323.1822455676,144710.99925623595,9508.626921655028,-57102.35499670178,-57102.35499670178,158765.14293663998,5474.660101263448,5054.189
Lower middle income,2020-08-17,2994738553,687080.9874105736,707690.5441367069,707690.5441367069,687080.9874105736,408275.0617560863,155960.13313112324,155960.13313112324,5860594.668301252,117211.89336602505,86580.165
Unknown income group,2020-08-17,258910,-72.6819825305806,36.86968986615074,36.86968986615074,-17.127091289788222,-72.6819825305806,-106.07041959512313,-106.07041959512313,0,0,1.001
Upper middle income,2020-08-17,2928412447,848957.0064058367,1022093.9560424652,1022093.9560424652,848957.0064058367,657584.0757343658,525975.5019013077,525975.5019013077,28927971.585117094,535703.1775021685,341393.213
High income,2020-08-24,1241193758,532298.0668763985,548248.1122282534,548248.1122282534,532298.0668763985,510520.266200214,506228.76041466196,506228.76041466196,38352609.27754802,498085.8347733509,390076.337
Low income,2020-08-24,704080579,153753.29909423247,154727.25618894026,154727.25618894026,153753.29909423247,14373.78260841078,-54782.285019482275,-54782.285019482275,165554.751892883,5708.784548030449,5340.195
Lower middle income,2020-08-24,2994738553,759263.2788632442,800010.6622554187,800010.6622554187,759263.2788632442,461599.12655416125,197440.39056067407,197440.39056067407,6296653.479163058,125933.06958326117,95041.184
Unknown income group,2020-08-24,258910,-74.00833316147666,38.49761851297557,38.49761851297557,-17.640689520106335,-74.00833316147666,-109.70705567879799,-109.70705567879799,0,0,1.001
Upper middle income,2020-08-24,2928412447,904427.8409091443,1088424.5395927639,1088424.5395927639,904427.8409091443,701065.3346723294,565727.8450566592,565727.8450566592,30626020.521728184,567148.5281801516,364903.21
High income,2020-08-31,1241193758,546168.4364038105,562513.8457083368,562513.8457083368,546503.7141053168,523005.42221112037,518692.19973796967,518692.19973796967,39266344.5014081,509952.525992313,398504.337
Low income,2020-08-31,704080579,160856.61842908306,161770.34493029915,161770.34493029915,160856.61842908306,16149.876051167324,-56034.14997698,-56034.14997698,172344.360849126,5942.908994797449,5580.197
Lower middle income,2020-08-31,2994738553,827415.9034266005,888673.4274618347,888673.4274618347,827415.9034266005,512726.9049685651,237926.7540978353,237926.7540978353,6732862.290024864,134657.24580049727,104555.192
Unknown income group,2020-08-31,258910,-75.20651503802993,40.5867353117368,40.5867353117368,-18.02142066429904,-75.20651503802993,-112.50377668746341,-112.50377668746341,0,0,1.001
Upper middle income,2020-08-31,2928412447,950067.2737663717,1151730.1693843682,1151730.1693843682,950067.2737663717,737461.0450793087,599543.4523618869,599543.4523618869,32146400.458339274,595303.7121914681,386383.221
High income,2020-09-07,1241193758,563073.4257666052,579866.930936679,579866.930936679,563764.8941957796,538602.7042398849,534218.6761635913,534218.6761635913,40410738.88849396,524814.7907596618,406551.348
Low income,2020-09-07,704080579,167637.82885154287,168048.87953853124,168048.87953853124,167637.82885154287,17450.87372579337,-57096.03280348754,-57096.03280348754,179133.96980536904,6177.033441564449,5826.205
Lower middle income,2020-09-07,2994738553,903501.6128708188,984411.781219078,984411.781219078,903501.6128708188,557449.1851847626,283660.40730812924,283660.40730812924,6999040.089897093,139980.80179794185,116028.20599999999
Unknown income group,2020-09-07,258910,-76.49410274785471,42.69696218816027,42.69696218816027,-17.137734894005284,-76.49410274785471,-116.08141795520675,-116.08141795520675,0,0,1.001
Upper middle income,2020-09-07,2928412447,994600.8443193393,1216126.4173973226,1216126.4173973226,994600.8443193393,775413.1293305935,632400.502263222,632400.502263222,33641845.71495036,622997.1428694512,406263.221
High income,2020-09-14,1241193758,580756.3695212728,598009.8091840604,598009.8091840604,581186.6582493271,555047.2248068136,550493.1343065989,550493.1343065989,41616451.45557983,540473.3955270108,414128.351
Low income,2020-09-14,704080579,174358.62049749552,174358.62049749552,174358.62049749552,174358.62049749552,18927.580826580423,-59468.34905248529,-59468.34905248529,185923.57876161207,6411.1578883314505,6024.214
Lower middle income,2020-09-14,2994738553,987495.4286615148,1093892.562816754,1093892.562816754,987495.4286615148,604411.5257546137,325109.23959406326,325109.23959406326,7276957.889769322,145539.15779538645,126595.217
Unknown income group,2020-09-14,258910,-76.96016465498741,45.66816004362723,45.66816004362723,-15.32179879844047,-76.96016465498741,-118.33077040691927,-118.33077040691927,0,0,1.001
Upper middle income,2020-09-14,2928412447,1039835.5447971524,1278005.944231023,1278005.944231023,1039835.5447971524,810149.9219112882,662731.8708309322,662731.8708309322,35009928.01156145,648332.000214101,424897.214
High income,2020-09-21,1241193758,596481.1762670347,614128.9898109854,614128.9898109854,596768.450780425,569485.3539244715,564872.6553944295,564872.6553944295,42671881.325999044,554180.2769610265,422761.353
Low income,2020-09-21,704080579,181008.2189196786,181008.2189196786,181008.2189196786,181008.2189196786,20186.078091093714,-59532.92898921493,-59532.92898921493,192255.77576133332,6629.509509011494,6202.217
Lower middle income,2020-09-21,2994738553,1063096.166322278,1191539.4707996247,1191539.4707996247,1063096.166322278,659629.6192952563,366577.3355824197,366577.3355824197,7555965.689641551,151119.31379283103,137025.217
Unknown income group,2020-09-21,258910,-77.69302780408472,48.08249819088967,48.08249819088967,-13.243099244248787,-77.69302780408472,-120.99783162809285,-120.99783162809285,0,0,2.002
Upper middle income,2020-09-21,2928412447,1084713.8089908876,1340189.0112987044,1340189.0112987044,1084713.8089908876,848538.7281684845,694447.0177773538,694447.0177773538,36389840.62817255,673885.9375587509,443294.243
High income,2020-09-28,1241193758,612542.8702483653,630628.9488554078,630628.9488554078,612926.5520370862,584401.9673450629,579642.4128883062,579642.4128883062,43760503.073084936,568318.2217283758,431877.369
Low income,2020-09-28,704080579,187957.086717764,188276.2964806981,188276.2964806981,187957.086717764,21422.28143958688,-61141.74803385464,-61141.74803385464,198587.9727610546,6847.861129691538,6362.216
Lower middle income,2020-09-28,2994738553,1138790.8354909602,1285106.4283584,1285106.4283584,1138790.8354909602,728990.3529980191,406814.40305735904,406814.40305735904,7841233.48951378,156824.6697902756,146779.22
Unknown income group,2020-09-28,258910,-79.04570515622923,49.376220826699196,49.376220826699196,-11.771120717956734,-79.04570515622923,-124.34828004428654,-124.34828004428654,0,0,2.002
Upper middle income,2020-09-28,2928412447,1124453.5501776678,1396745.172956909,1396745.172956909,1124453.5501776678,884554.8675788131,724237.2236562743,724237.2236562743,37696182.92478363,698077.4615700673,462023.233
High income,2020-10-05,1241193758,629787.9695499438,647901.6690155822,647901.6690155822,630494.154098705,601412.9249622176,596535.8919034728,596535.8919034728,45014281.15146113,584601.0539150796,441335.384
Low income,2020-10-05,704080579,195234.32480887562,196448.6375031841,196448.6375031841,195234.32480887562,23284.881340941727,-63397.09749167412,-63397.09749167412,204920.16976077587,7066.212750371582,6482.224
Lower middle income,2020-10-05,2994738553,1203361.9545868193,1373855.668124132,1373855.668124132,1203361.9545868193,779663.70392508,446646.9044993303,446646.9044993303,8111181.141536548,162223.62283073095,156558.213
Unknown income group,2020-10-05,258910,-79.41951138101263,51.754008706758185,51.754008706758185,-11.42420193710634,-79.41951138101263,-126.73599942720652,-126.73599942720652,0,0,2.002
Upper middle income,2020-10-05,2928412447,1181041.095239033,1464716.3622236452,1464716.3622236452,1181041.095239033,931026.6509888058,765801.9491220326,765801.9491220326,39645677.81634467,734179.2188211976,485619.239
High income,2020-10-12,1241193758,648877.5183661454,666831.3452860394,666831.3452860394,649965.5959746044,620204.2071602779,615195.0650127998,615195.0650127998,46422231.96650399,602886.1294351168,451614.401
Low income,2020-10-12,704080579,203417.81441702382,206275.55667082718,206275.55667082718,203417.81441702382,25954.997417951836,-63869.65379987499,-63869.65379987499,211252.36676049716,7284.564371051626,6644.225
Lower middle income,2020-10-12,2994738553,1263064.3837538243,1441964.169978955,1441964.169978955,1263064.3837538243,826970.1896238372,490194.9244862473,490194.9244862473,8392218.793559315,167844.3758711863,165659.235
Unknown income group,2020-10-12,258910,-79.90591817497068,53.85757865075651,53.85757865075651,-11.764561563008227,-79.90591817497068,-128.42131603431415,-128.42131603431415,0,0,3.0029999999999997
Upper middle income,2020-10-12,2928412447,1236363.3254405635,1535218.067559884,1535218.067559884,1236363.3254405635,975735.1086462524,808293.0625526288,808293.0625526288,41661528.267905705,771509.7827389946,503434.246
High income,2020-10-19,1241193758,679547.784474191,697334.6247463648,697334.6247463648,680816.0301827121,650632.1704174815,645377.2784516503,645377.2784516503,48721778.871546865,632750.3749551541,463821.4
Low income,2020-10-19,704080579,211591.77476366292,218511.25469836296,218511.25469836296,211591.77476366292,29478.290858518645,-64822.82012004321,-64822.82012004321,217584.56376021844,7502.91599173167,6795.243
Lower middle income,2020-10-19,2994738553,1316300.7506298216,1510002.1418576022,1510002.1418576022,1316300.7506298216,869554.4496098853,535912.5101825204,535912.5101825204,8672876.445582082,173457.52891164165,173864.236
Unknown income group,2020-10-19,258910,-80.30076913246103,55.68753101300823,55.68753101300823,-10.009437358017964,-80.30076913246103,-129.55544297485542,-129.55544297485542,0,0,4.004
Upper middle income,2020-10-19,2928412447,1293311.4810388507,1608603.2376227747,1608603.2376227747,1293311.4810388507,1021440.0820430381,853386.9956233631,853386.9956233631,43722820.43946674,809681.8599901248,521163.244
High income,2020-10-26,1241193758,718738.9437444434,736439.7350501633,736439.7350501633,720302.2753337532,689613.963575315,683991.5324056512,683991.5324056512,51680944.2232564,671181.0938085247,479767.414
Low income,2020-10-26,704080579,216222.40917769555,226233.87734898686,226233.87734898686,216222.40917769555,32181.864775461036,-67010.327752985,-67010.327752985,223916.7607599397,7721.267612411714,6950.258
Lower middle income,2020-10-26,2994738553,1370893.3736539355,1576512.159384427,1576512.159384427,1370893.3736539355,912492.8024759793,579133.7351781521,579133.7351781521,8953274.09760485,179065.481952097,181264.251
Unknown income group,2020-10-26,258910,-81.55771049106312,57.484747745525794,57.484747745525794,-7.584919508096038,-81.55771049106312,-131.54501286604375,-131.54501286604375,0,0,4.004
Upper middle income,2020-10-26,2928412447,1353574.0594906402,1683829.4206768333,1683829.4206768333,1353574.0594906402,1066027.997281572,899526.9298303991,899526.9298303991,45856935.21102778,849202.5039079218,539881.244
High income,2020-11-02,1241193758,769214.616709699,786597.7873237077,786597.7873237077,770955.8202652539,739652.6139624462,733742.380505955,733742.380505955,55491971.04034229,720674.948575874,501113.403
Low income,2020-11-02,704080579,224218.98373835802,235154.25383538287,235154.25383538287,224218.98373835802,37906.50723079564,-67250.19781957753,-67250.19781957753,230248.957759661,7939.619233091758,7088.277
Lower middle income,2020-11-02,2994738553,1435302.2448178947,1648573.8764884155,1648573.8764884155,1435302.2448178947,966841.1696325245,621049.9132429537,621049.9132429537,9408594.314143745,188171.8862828749,188089.251
Unknown income group,2020-11-02,258910,-81.90735962952678,58.58212542510104,58.58212542510104,-3.859750946706389,-81.90735962952678,-132.84731902345678,-132.84731902345678,0,0,4.004
Upper middle income,2020-11-02,2928412447,1430831.0855843876,1777111.7731907712,1777111.7731907712,1430831.0855843876,1127642.173788489,963596.0404033748,963596.0404033748,48621919.60962107,900405.9186966865,559007.274
High income,2020-11-09,1241193758,821977.8165650003,839073.6761981075,839073.6761981075,823882.97920305,791997.4284077338,785771.4085051655,785771.4085051655,59482137.3307615,772495.2900098895,531494.418
Low income,2020-11-09,704080579,232873.70873181074,244880.40092118402,244880.40092118402,232873.70873181074,45504.81939209324,-66488.62216023738,-66488.62216023738,236581.15475938225,8157.9708537718025,7513.282
Lower middle income,2020-11-09,2994738553,1499140.5807779545,1720445.1372335022,1720445.1372335022,1499140.5807779545,1020769.8004013575,664072.6623656468,664072.6623656468,9858644.53068264,197172.8906136528,195978.251
Unknown income group,2020-11-09,258910,-81.97644374629643,59.40666626351813,59.40666626351813,-0.18189750500776472,-81.97644374629643,-132.38608467442424,-132.38608467442424,0,0,4.004
Upper middle income,2020-11-09,2928412447,1512564.3284662515,1871729.5952297687,1871729.5952297687,1512564.3284662515,1194479.6305841326,1029343.4400544928,1029343.4400544928,51526218.24821436,954189.2268187845,578635.309
High income,2020-11-16,1241193758,876065.9592548674,892804.0374792635,892804.0374792635,878179.2597020146,845684.1970998339,839193.954909076,839193.954909076,63578432.97784737,825693.9347772385,565730.417
Low income,2020-11-16,704080579,241098.84133885335,254311.62995175458,254311.62995175458,241098.84133885335,52786.41694500704,-66548.59750705973,-66548.59750705973,242913.35175910353,8376.322474451847,7716.296
Lower middle income,2020-11-16,2994738553,1560016.452809693,1782249.8627126468,1782249.8627126468,1560016.452809693,1077566.7314848811,707339.816432619,707339.816432619,10312694.747221535,206253.8949444307,203156.261
Unknown income group,2020-11-16,258910,-81.99460185060602,60.60489787340841,60.60489787340841,-2.1464569219956195,-81.99460185060602,-132.52317318059522,-132.52317318059522,0,0,4.004
Upper middle income,2020-11-16,2928412447,1594376.6776072534,1964764.7197150427,1964764.7197150427,1594376.6776072534,1262300.460330488,1095042.3022118073,1095042.3022118073,54418871.24680765,1007756.8749408824,600667.319
High income,2020-11-23,1241193758,930455.1646343595,946540.4839656544,946540.4839656544,932145.424249441,899509.3760977552,892885.3632685323,892885.3632685323,67687926.93826659,879063.9862112544,605083.43
Low income,2020-11-23,704080579,249351.34646958,264578.7384470614,264578.7384470614,249351.34646958,58243.93650193569,-66530.49410624214,-66530.49410624214,249245.54875882482,8594.67409513189,8034.313
Lower middle income,2020-11-23,2994738553,1620449.2907995384,1851185.9025195953,1851185.9025195953,1620449.2907995384,1135475.8566683298,750523.7597657242,750523.7597657242,10763004.96376043,215260.0992752086,211423.261
Unknown income group,2020-11-23,258910,-82.07669034412409,62.22797207035702,62.22797207035702,-4.839669321781285,-82.07669034412409,-132.7959312309806,-132.7959312309806,0,0,4.004
Upper middle income,2020-11-23,2928412447,1674012.841057053,2059010.74580502,2059010.74580502,1674012.841057053,1331683.9073606008,1157193.308058885,1157193.308058885,57247789.485400945,1060144.249729647,623054.313
High income,2020-11-30,1241193758,986668.3200300275,1002392.5866459218,1002392.5866459218,988028.9354896756,955369.9667517486,948615.1536658601,948615.1536658601,71953919.80535246,934466.4909786034,645436.442
Low income,2020-11-30,704080579,257686.09315174603,274940.6106935208,274940.6106935208,257686.09315174603,61964.52539506,-65899.8969648849,-65899.8969648849,255577.74575854608,8813.025715811935,8306.326
Lower middle income,2020-11-30,2994738553,1680614.9852865129,1908797.741521894,1908797.741521894,1680614.9852865129,1187723.2616268997,788654.3486067598,788654.3486067598,11217215.180299325,224344.3036059865,218882.272
Unknown income group,2020-11-30,258910,-82.4646234088125,64.49155815730845,64.49155815730845,-6.203939303045612,-82.4646234088125,-133.21600841326887,-133.21600841326887,0,0,4.004
Upper middle income,2020-11-30,2928412447,1747629.1831850584,2150074.5492550014,2150074.5492550014,1747629.1831850584,1395939.2316283209,1221012.237057973,1221012.237057973,60078955.923994236,1112573.2578517452,647654.336
High income,2020-12-07,1241193758,1045408.086676475,1060788.751598275,1060788.751598275,1046467.8050571046,1013757.4799348774,1006897.3606643378,1006897.3606643378,76415974.38609426,992415.2517674578,689864.427
Low income,2020-12-07,704080579,266949.5468160431,285181.51339528593,285181.51339528593,266949.5468160431,65712.76153755978,-64608.412532535316,-64608.412532535316,261909.94275826737,9031.377336491978,8620.332
Lower middle income,2020-12-07,2994738553,1742641.1765438823,1970108.4022216378,1970108.4022216378,1742641.1765438823,1233874.8781674982,827543.3711878539,827543.3711878539,11731793.154902738,234635.86309805475,226400.26499999998
Unknown income group,2020-12-07,258910,-82.52887504717012,67.30411094881767,67.30411094881767,-7.271330406957612,-82.52887504717012,-134.67684241758386,-134.67684241758386,0,0,4.004
Upper middle income,2020-12-07,2928412447,1823963.1245908425,2242397.219965127,2242397.219965127,1823963.1245908425,1461945.0585087338,1286882.5476308793,1286882.5476308793,63062387.09430944,1167821.9832279526,672445.34
High income,2020-12-14,1241193758,1100292.5854926037,1115412.9414192827,1115412.9414192827,1101036.9369206557,1068300.1415398782,1061297.8828261164,1061297.8828261164,80578746.65016937,1046477.2292229788,735550.459
Low income,2020-12-14,704080579,277254.60498024826,296088.94160780107,296088.94160780107,277254.60498024826,70385.54537552445,-61670.476364581526,-61670.476364581526,268242.1397579886,9249.728957172023,8986.327
Lower middle income,2020-12-14,2994738553,1797982.5886122738,2028114.7858890144,2028114.7858890144,1797982.5886122738,1287330.929575062,862781.0893784936,862781.0893784936,12243911.12950615,244878.222590123,233315.264
Unknown income group,2020-12-14,258910,-83.96410149104827,70.0489380485812,70.0489380485812,-6.546974216736791,-83.96410149104827,-136.67135626297164,-136.67135626297164,0,0,4.004
Upper middle income,2020-12-14,2928412447,1900726.1421389147,2335717.2181210495,2335717.2181210495,1900726.1421389147,1528397.665152659,1352774.0515706837,1352774.0515706837,66117917.98462465,1224405.8886041602,697753.343
High income,2020-12-21,1241193758,1155398.2813006525,1170352.9115112252,1170352.9115112252,1156101.1639899015,1123225.0577941586,1116115.9004800457,1116115.9004800457,84776854.47091118,1100998.1100118335,784348.481
Low income,2020-12-21,704080579,287348.80175745464,307466.47983093275,307466.47983093275,287348.80175745464,77423.50608317957,-58515.37610459593,-58515.37610459593,273166.42454338435,9419.531880806358,9411.332
Lower middle income,2020-12-21,2994738553,1851448.2177676505,2085248.6366055405,2085248.6366055405,1851448.2177676505,1342099.8036374543,896801.2052684602,896801.2052684602,12758129.104109563,255162.58208219125,240099.258
Unknown income group,2020-12-21,258910,-85.36309595349385,73.00021670847609,73.00021670847609,-4.064799257061687,-85.36309595349385,-138.62573907409623,-138.62573907409623,0,0,4.004
Upper middle income,2020-12-21,2928412447,1979936.0959069245,2430923.0662751566,2430923.0662751566,1979936.0959069245,1597753.6183899778,1420414.204491388,1420414.204491388,69378531.51493986,1284787.6206470344,724135.342
High income,2020-12-28,1241193758,1213607.3042864644,1228434.7568902122,1228434.7568902122,1214478.8381705089,1181308.3320260954,1174053.3807847558,1174053.3807847558,89218997.59786084,1158688.2804916992,825929.482
Low income,2020-12-28,704080579,297639.45394557033,318829.88212437596,318829.88212437596,297639.45394557033,88205.89235136763,-52761.86115969048,-52761.86115969048,278090.7093287801,9589.334804440694,9945.355
Lower middle income,2020-12-28,2994738553,1903646.8299129147,2141781.094516959,2141781.094516959,1903646.8299129147,1397850.8307930965,918217.7459094063,918217.7459094063,13256481.01939094,265129.62038781884,246128.24599999998
Unknown income group,2020-12-28,258910,-86.38446407295673,75.33232797288706,75.33232797288706,-2.9447732209075586,-86.38446407295673,-140.64515302492364,-140.64515302492364,0,0,4.004
Upper middle income,2020-12-28,2928412447,2059163.288008845,2531300.523558966,2531300.523558966,2059163.288008845,1671973.5453477008,1491767.5612393958,1491767.5612393958,72983815.44283932,1351552.1378303578,749375.347
High income,2021-01-04,1241193758,1266823.3795387032,1281560.1861730139,1281560.1861730139,1267610.7514076952,1234358.9979201483,1226924.827863032,1226924.827863032,93272048.34640592,1211325.303200077,872923.478
Low income,2021-01-04,704080579,305823.882113666,328539.8452741719,328539.8452741719,305823.882113666,99244.47032344333,-47608.32573586957,-47608.32573586957,283014.99411417585,9759.13772807503,10239.369
Lower middle income,2021-01-04,2994738553,1949630.6191400385,2194856.6601178036,2194856.6601178036,1949630.6191400385,1449138.3544144756,935945.299281455,935945.299281455,13537937.298069712,270758.7459613942,251843.24899999998
Unknown income group,2021-01-04,258910,-87.79569146358943,77.89964950310456,77.89964950310456,-3.0223713056284995,-87.79569146358943,-143.07431713499332,-143.07431713499332,0,0,4.004
Upper middle income,2021-01-04,2928412447,2133344.248004814,2627220.6463404554,2627220.6463404554,2138157.433770451,1743591.5746174436,1560696.8164913103,1560696.8164913103,76319173.62167594,1413318.030031036,776117.335
High income,2021-01-11,1241193758,1315945.2949138577,1330751.6444939985,1330751.6444939985,1316584.8465663749,1283393.2993905572,1275579.3515618227,1275579.3515618227,97018359.32828404,1259978.6925751173,928712.498
Low income,2021-01-11,704080579,313956.7708921391,339299.3419151892,339299.3419151892,313956.7708921391,110473.195577445,-39982.054040964744,-39982.054040964744,287939.27889957157,9928.940651709365,10591.364
Lower middle income,2021-01-11,2994738553,1992546.1157162217,2248852.416947051,2248852.416947051,1992546.1157162217,1499193.4014697303,934396.8261652093,934396.8261652093,13819268.576748468,276385.37153496937,257259.247
Unknown income group,2021-01-11,258910,-89.6419023108463,79.83192485894699,79.83192485894699,-3.7121141549526255,-89.6419023108463,-145.5839368226972,-145.5839368226972,0,0,4.004
Upper middle income,2021-01-11,2928412447,2217973.969727682,2736347.564366923,2736347.564366923,2227840.4088458302,1824426.5367596475,1643557.5900426272,1643557.5900426272,80252359.50051197,1486154.8055650366,807235.331
High income,2021-01-18,1241193758,1367559.242335246,1381979.0804722311,1381979.0804722311,1368043.0478048655,1334792.761968768,1326690.795138038,1326690.795138038,100949093.01016216,1311027.181950158,985989.494
Low income,2021-01-18,704080579,322377.45286095666,351367.57937058277,351367.57937058277,322377.45286095666,118740.75337017546,-33102.919896290376,-33102.919896290376,292863.5636849673,10098.7435753437,11112.381
Lower middle income,2021-01-18,2994738553,2034098.0455490216,2302876.5744813066,2302876.5744813066,2034098.0455490216,1538752.0056557213,934442.4477336402,934442.4477336402,14096666.52209389,281933.3304418778,263204.256
Unknown income group,2021-01-18,258910,-91.31631293508497,81.69139880329912,81.69139880329912,-5.809735451546319,-91.31631293508497,-147.7017967996611,-147.7017967996611,0,0,4.004
Upper middle income,2021-01-18,2928412447,2302769.9749203473,2845512.577715973,2845512.577715973,2315435.943320027,1904793.3537828883,1723644.584394958,1723644.584394958,84168761.27934803,1558680.764432371,840598.325
High income,2021-01-25,1241193758,1410587.5912855002,1425008.3354250644,1425008.3354250644,1411118.3133391908,1377786.8830145153,1369459.2079315677,1369459.2079315677,104227219.6087069,1353600.2546585312,1044385.51
Low income,2021-01-25,704080579,332130.64691299683,364717.57231822447,364717.57231822447,332130.64691299683,126384.1361874599,-26962.833119843075,-26962.833119843075,297787.848470363,10268.546498978036,11809.399
Lower middle income,2021-01-25,2994738553,2074573.6316733595,2356936.9013221525,2356936.9013221525,2074573.6316733595,1567632.9023985243,933215.920604389,933215.920604389,14372622.800772646,287452.4560154529,269006.262
Unknown income group,2021-01-25,258910,-92.54261959488018,83.98056916699767,83.98056916699767,-7.252245118620956,-92.54261959488018,-148.32532406162892,-148.32532406162892,0,0,4.004
Upper middle income,2021-01-25,2928412447,2374607.6175096314,2941759.657242638,2941759.657242638,2389876.9387347265,1976572.6972755308,1790142.4478719425,1790142.4478719425,87386614.55818409,1618270.639966372,877750.342
High income,2021-02-01,1241193758,1443101.9739637326,1457546.4403828632,1457546.4403828632,1443612.5632301015,1410272.5225471053,1401752.4563071975,1401752.4563071975,106695149.27806301,1385651.2893254939,1101086.504
Low income,2021-02-01,704080579,341079.4589643202,378507.96197563485,378507.96197563485,341079.4589643202,132528.70907980212,-23985.2700798917,-23985.2700798917,302712.13325575873,10438.349422612371,12266.401
